"rgn_id","score","old_score","rgn_name","new_minus_old"
140,16.1,18,"Guadeloupe and Martinique",-1.9
175,23.5,25.4,"Denmark",-1.9
244,38.9,40.7,"Curacao",-1.8
120,30.3,32.1,"Antigua and Barbuda",-1.8
182,31.1,32.9,"Spain",-1.8
184,47.1,48.9,"Italy",-1.8
209,35.1,36.9,"China",-1.8
50,48.8,50.5,"Saudi Arabia",-1.7
68,42,43.7,"Malta",-1.7
121,28,29.7,"Montserrat",-1.7
204,35.9,37.5,"Bangladesh",-1.6
97,19.6,21.2,"Liberia",-1.6
141,23.3,24.9,"Faeroe Islands",-1.6
100,36.7,38.3,"Republique du Congo",-1.59999999999999
75,63.4,64.9,"Ukraine",-1.50000000000001
115,38.1,39.6,"Dominican Republic",-1.5
196,40.8,42.3,"Nigeria",-1.5
208,35.6,37.1,"Singapore",-1.5
103,27.2,28.6,"Sao Tome and Principe",-1.4
167,23.4,24.8,"Guyana",-1.4
25,58.5,59.9,"Thailand",-1.4
164,30.9,32.3,"Belize",-1.4
168,28.8,30.1,"Suriname",-1.3
40,46.6,47.9,"Sri Lanka",-1.3
49,37.1,38.4,"Sudan",-1.3
215,34.6,35.9,"Jordan",-1.3
108,40.5,41.7,"Bermuda",-1.2
139,31.4,32.6,"Venezuela",-1.2
221,35.9,37.1,"Northern Saint-Martin",-1.2
64,15,16.2,"Mauritania",-1.2
24,57.1,58.2,"Cambodia",-1.1
57,36,37.1,"Madeira",-1.1
61,33.9,35,"Tunisia",-1.1
62,22.7,23.8,"Morocco",-1.1
84,49.3,50.4,"Algeria",-1.1
43,36.7,37.8,"Kenya",-1.09999999999999
26,32,33,"Andaman and Nicobar",-1
123,23.9,24.9,"Dominica",-1
163,51.6,52.6,"United States",-1
166,18.1,19.1,"Jamaica",-1
210,53.8,54.8,"Japan",-1
237,81.3,82.3,"Oecussi Ambeno",-1
82,25.8,26.7,"Albania",-0.899999999999999
173,51,51.9,"Uruguay",-0.899999999999999
192,35.9,36.7,"Iraq",-0.800000000000004
205,40.9,41.7,"Myanmar",-0.800000000000004
195,29.4,30.2,"Ivory Coast",-0.800000000000001
21,47.4,48.1,"North Korea",-0.700000000000003
197,49.3,50,"Cameroon",-0.700000000000003
169,26,26.7,"French Guiana",-0.699999999999999
187,37.1,37.8,"Croatia",-0.699999999999996
47,44.9,45.5,"Yemen",-0.600000000000001
51,23.4,24,"Kuwait",-0.600000000000001
42,47.2,47.8,"Madagascar",-0.599999999999994
16,49.8,50.3,"Australia",-0.5
41,45.4,45.9,"Mozambique",-0.5
46,44.3,44.8,"Djibouti",-0.5
111,8,8.5,"Turks and Caicos Islands",-0.5
126,25.5,26,"Trinidad and Tobago",-0.5
227,62.7,63.2,"Jersey",-0.5
190,40.5,40.9,"Qatar",-0.399999999999999
137,40.4,40.7,"Ecuador",-0.300000000000004
186,34.8,35.1,"Montenegro",-0.300000000000004
56,24,24.3,"Cape Verde",-0.300000000000001
232,30.8,31.1,"Bosnia and Herzegovina",-0.300000000000001
118,38,38.3,"Anguilla",-0.299999999999997
44,54,54.2,"Somalia",-0.200000000000003
73,61.4,61.6,"Russia",-0.200000000000003
74,71.6,71.7,"Georgia",-0.100000000000009
3,29.7,29.8,"Norfolk Island",-0.100000000000001
52,26.4,26.5,"Bahrain",-0.100000000000001
191,40.6,40.7,"Iran",-0.100000000000001
53,70,70.1,"Pakistan",-0.0999999999999943
88,54.7,54.8,"Tristan da Cunha",-0.0999999999999943
94,44.6,44.6,"Heard and McDonald Islands",0
105,2.6,2.6,"Bouvet Island",0
119,24.3,24.3,"Saint Kitts and Nevis",0
144,6.3,6.3,"Jan Mayen",0
124,16.2,16.1,"Barbados",0.0999999999999979
12,12.7,12.6,"Wake Island",0.0999999999999996
76,63.7,63.6,"Turkey",0.100000000000001
89,62,61.9,"South Georgia and the South Sandwich Islands",0.100000000000001
188,45,44.9,"Slovenia",0.100000000000001
218,32.4,32.3,"Canada",0.100000000000001
20,39.6,39.4,"South Korea",0.200000000000003
32,64,63.8,"R_union",0.200000000000003
154,32.2,32,"Niue",0.200000000000003
183,33.5,33.2,"Portugal",0.299999999999997
159,20.2,19.9,"Johnston Atoll",0.300000000000001
71,34.5,34.1,"Bulgaria",0.399999999999999
54,52.2,51.7,"United Arab Emirates",0.5
114,33.3,32.8,"Haiti",0.5
136,23.9,23.4,"Guatemala",0.5
5,65.7,65.1,"New Caledonia",0.600000000000009
116,33.8,33.1,"Puerto Rico and Virgin Islands of the United States",0.699999999999996
72,54.7,54,"Romania",0.700000000000003
162,37.5,36.8,"New Zealand",0.700000000000003
35,31.9,31.1,"Ile Europa",0.799999999999997
48,60.8,59.9,"Oman",0.899999999999999
228,52,51.1,"Guernsey",0.899999999999999
4,26.8,25.9,"Macquarie Island",0.900000000000002
145,26.1,25.2,"Greenland",0.900000000000002
29,83.4,82.5,"Mayotte",0.900000000000006
30,67.5,66.6,"Glorioso Islands",0.900000000000006
28,71,70,"Comoro Islands",1
93,39.2,38.2,"Kerguelen Islands",1
132,35.8,34.7,"Colombia",1.09999999999999
143,30.4,29.3,"Iceland",1.1
34,45.4,44.3,"Bassas da India",1.1
39,78.3,77.1,"Maldives",1.2
33,76,74.7,"Juan de Nova Island",1.3
151,69.6,68.3,"American Samoa",1.3
92,16.7,15.4,"Amsterdam Island and Saint Paul Island",1.3
219,32.6,31.2,"Saint Pierre and Miquelon",1.4
90,50.4,48.3,"Prince Edward Islands",2.1
150,75.1,72.9,"Palmyra Atoll",2.19999999999999
134,23,20.6,"El Salvador",2.4
133,36.4,33.7,"Honduras",2.7
131,30.8,28.1,"Nicaragua",2.7
152,50.8,48,"Samoa",2.8
148,61.4,58.2,"Line Group",3.2
153,35.9,32.4,"Cook Islands",3.5
130,33.8,30.2,"Costa Rica",3.6
38,47,43.4,"British Indian Ocean Territory",3.6
86,54.8,50.6,"Saint Helena",4.2
224,50.2,45.4,"Chile",4.8
147,47.7,42.7,"French Polynesia",5
149,81.8,76.7,"Jarvis Island",5.09999999999999
31,81.4,76.3,"Seychelles",5.10000000000001
36,57.7,52.4,"Ile Tromelin",5.3
171,58,52.6,"Brazil",5.4
37,56.5,47.5,"Mauritius",9
138,58.7,47.7,"Peru",11
107,80.3,67.1,"Clipperton Island",13.2
146,74.4,61.2,"Pitcairn",13.2
129,54.1,40.1,"Panama",14
