FLAG_STATE,CALL_SIGN,SeasonAbbr,CREW N,481,482,483,484,485,486,5841,5842,5843a,5843b,5844a,5844b,5851,5852,586,587,881,882,883
NOR,LKYA,2013,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
FRA,RIBIT1,2012,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,RIBIT2,2012,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,RIBIT3,2012,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,RIBIT5,2012,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,RIBIT6,2012,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,RIBIT7,2012,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,RIBIT88,2012,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
ESP,EAWJ,2012,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOR,LNSK,2012,59,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOR,LAZH,2012,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,BIWV,2012,120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBR,ZDLZ1,2012,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBR,ZDLF2,2012,57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,DTBX8,2012,103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHL,CBTZ,2012,36,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,6LZT,2012,99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,VHGI,2012,28,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
JPN,JFUJ,2012,90,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOR,LAWR,2012,50,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,6KSN,2012,44,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
CHL,CB 9738,2012,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,DTBT2,2012,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
KOR,DTBV7,2012,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
KOR,DTBQ4,2012,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ESP,ECJF,2012,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GBR,ZDLS2,2012,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,DTBZ7,2012,100,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAF,ZR7955,2012,39,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
ZAF,ZR6358,2012,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
CHN,BIUO,2012,120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,BIWU,2012,116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,JAAL,2012,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RUS,UBRF9,2012,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
RUS,UIBS,2012,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
AUS,VHLU,2012,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CHN,BAWV,2012,110,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRA,FNTD,2012,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AUS,VJT 6415,2012,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GBR,ZHHL,2012,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
GBR,ZHHJ,2012,25,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NZL,ZM2534,2012,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RUS,UBWES,2012,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NZL,ZMGO,2012,23,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NZL,ZMA6800,2012,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
NZL,ZMTW,2012,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
NOR,LKYA,2012,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
KOR,DTBX4,2011,44,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
URY,CXYN,2011,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRA,RIBIT1,2011,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,RIBIT2,2011,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,RIBIT3,2011,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,RIBIT5,2011,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,RIBIT6,2011,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,RIBIT7,2011,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,RIBIT88,2011,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
CHN,BALE,2011,136,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOR,LNSK,2011,59,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOR,LAZH,2011,50,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,BIWV,2011,120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBR,ZDLF2,2011,57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHL,CBTZ,2011,36,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,6NQW,2011,95,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,6LZT,2011,99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,VHGI,2011,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GBR,ZDLR1,2011,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,JFUJ,2011,90,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POL,SQDY,2011,72,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOR,LAWR,2011,50,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,6KSN,2011,44,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CHL,CB 9738,2011,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,DTBT2,2011,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
KOR,DTBV7,2011,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
KOR,DTBQ4,2011,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ESP,ECJF,2011,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
ZAF,ZR7955,2011,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
ZAF,ZR6358,2011,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
GBR,ZDLF1,2011,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,BIWZ,2011,120,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,BIUO,2011,120,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,JAAL,2011,33,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
RUS,UBRF9,2011,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
RUS,UADN,2011,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RUS,UIBS,2011,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
RUS,UAAW,2011,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
AUS,VHLU,2011,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CHN,BAWV,2011,110,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
URY,CXOB,2011,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AUS,VJT 6415,2011,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GBR,ZHHL,2011,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
GBR,ZHHJ,2011,25,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
NZL,ZM2534,2011,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NZL,ZMGO,2011,23,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
NZL,ZMA6800,2011,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
NZL,ZMTW,2011,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
FRA,FQQN,2010,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
KOR,DTBA5,2010,42,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
URY,CXYN,2010,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRA,RIBIT1,2010,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,RIBIT2,2010,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,RIBIT3,2010,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,RIBIT5,2010,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,RIBIT6,2010,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,RIBIT7,2010,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,RIBIT88,2010,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
ESP,EAWJ,2010,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,BALE,2010,136,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOR,LNSK,2010,59,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOR,LAZH,2010,50,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,BIWV,2010,120,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBR,ZDLZ1,2010,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBR,ZDLF2,2010,57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHL,CBTZ,2010,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,6NQW,2010,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,6LZT,2010,99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,VHGI,2010,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
RUS,UDYN,2010,69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,JFUJ,2010,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POL,SQDY,2010,72,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOR,LAWR,2010,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHL,CB 9738,2010,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,DTBD3,2010,43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
KOR,DTBT2,2010,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
KOR,DTBV7,2010,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
KOR,DTBQ4,2010,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ESP,ECJF,2010,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
ZAF,ZR7955,2010,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
ARG,LW5421,2010,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
ZAF,ZR6358,2010,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GBR,ZDLF1,2010,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,JAAL,2010,33,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
RUS,UDWM,2010,30,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,VHLU,2010,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AUS,VJT 6415,2010,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GBR,ZHHL,2010,25,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
GBR,ZHHJ,2010,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
NZL,ZM2534,2010,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NZL,ZMGO,2010,23,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NZL,ZMA6800,2010,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NZL,ZMTW,2010,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FRA,FPXK,2009,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,FNDT,2009,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,FQBI,2009,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,FNHQ,2009,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,FQSP,2009,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,FQBU,2009,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,FOVB,2009,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,RIBIT1,2009,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,RIBIT2,2009,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,RIBIT3,2009,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,RIBIT5,2009,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,RIBIT6,2009,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FRA,RIBIT7,2009,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FRA,RIBIT88,2009,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
ESP,EAWJ,2009,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOR,LNSK,2009,59,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOR,LAZH,2009,50,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBR,ZDLZ1,2009,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBR,ZDLF2,2009,57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,6NQW,2009,95,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,6LZT,2009,99,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,VHGI,2009,28,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
GBR,ZDLR1,2009,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUS,UDYN,2009,69,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,JFUJ,2009,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POL,SQDY,2009,72,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHL,CB 9738,2009,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,DTBD3,2009,43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
KOR,DTBT2,2009,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
KOR,DTBV7,2009,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ZAF,ZR3989,2009,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CHL,CBIE,2009,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
KOR,DTBQ4,2009,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ESP,ECJF,2009,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
URY,CXOE,2009,39,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
ZAF,ZR 4521,2009,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ZAF,ZR7955,2009,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
KOR,DTBC2,2009,37,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
GBR,ZDLF1,2009,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JPN,JAAL,2009,33,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
AUS,VHLU,2009,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
URY,CXOB,2009,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
AUS,VJT 6415,2009,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GBR,ZHHL,2009,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
GBR,ZHHJ,2009,25,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
GBR,ZHHG,2009,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
NZL,ZM2534,2009,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NZL,ZMGO,2009,23,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NZL,ZMA6800,2009,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
NZL,ZMTW,2009,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
FRA,FPXK,2008,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
CHL,CB 9738,2008,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRA,FNDT,2008,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
ARG,LW-9769,2008,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NAM,V5RE,2008,38,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
GBR,ZHHL,2008,25,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
GBR,ZHHJ,2008,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GBR,ZHHG,2008,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AUS,VHLU,2008,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NZL,ZMTY,2008,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
URY,CXOE,2008,39,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
CHL,CBTZ,2008,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRA,FQBI,2008,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,FNHQ,2008,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
POL,SQDY,2008,72,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,6NQW,2008,95,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,DTBT2,2008,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FRA,FQSP,2008,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FRA,FQBU,2008,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
KOR,6LZT,2008,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,DTBD3,2008,43,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
