"am_sid","iucn_sid","sciname","parent_sid","subpop_sid","spp_group","category","trend"
"ITS-97696",170015,"Palinurellus gundlachi",NA,NA,"LOBSTERS","LC","Unknown"
"Hyd-210726",133144,"Millepora alcicornis",NA,NA,"CORAL3","LC","Stable"
"URM-Cn-3929",133065,"Tubipora musica",NA,NA,"CORAL3","NT","Unknown"
"Hyd-287421",133042,"Millepora complanata",NA,NA,"CORAL3","LC","Stable"
"Hyd-210730",133595,"Millepora platyphylla",NA,NA,"CORAL3","LC","Unknown"
"SLB-158806",133118,"Porites sillimaniana",NA,NA,"CORAL2","VU","Unknown"
"URM-Cn-4841",133020,"Acropora tenuis",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-6097",133446,"Astrangia poculata",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5990",133390,"Seriatopora hystrix",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5995",133685,"Stylophora pistillata",NA,NA,"CORAL2","NT","Unknown"
"URM-Cn-4833",133402,"Acropora squarrosa",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-4495",133193,"Heliopora coerulea",NA,NA,"CORAL3","VU","Decreasing"
"SLB-184808",133182,"Isopora brueggemanni",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-6128",133077,"Coscinaraea mcneilli",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-6129",133323,"Coscinaraea monile",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-6130",133408,"Coscinaraea wellsi",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-6134",133208,"Psammocora contigua",NA,NA,"CORAL2","NT","Unknown"
"URM-Cn-6135",133043,"Psammocora digitata",NA,NA,"CORAL2","NT","Unknown"
"URM-Cn-6136",133589,"Psammocora explanulata",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-6137",133406,"Psammocora haimeana",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-6138",133094,"Psammocora nierstraszi",NA,NA,"CORAL2","LC","Stable"
"URM-Cn-6139",133353,"Psammocora obtusangula",NA,NA,"CORAL2","NT","Unknown"
"URM-Cn-6140",133570,"Psammocora profundacella",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-6141",132860,"Psammocora stellata",NA,NA,"CORAL2","VU","Unknown"
"URM-Cn-6142",133502,"Psammocora superficialis",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-6146",133027,"Siderastrea radians",NA,NA,"CORAL2","LC","Stable"
"URM-Cn-6147",133590,"Siderastrea savignyana",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-6148",133389,"Siderastrea siderea",NA,NA,"CORAL2","LC","Stable"
"URM-Cn-4849",133621,"Acropora valenciennesi",NA,NA,"CORAL1","LC","Decreasing"
"SLB-61731",133293,"Acropora valida",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-4850",133025,"Acropora vaughani",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4851",133532,"Acropora verweyi",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-5931",132947,"Echinophyllia echinoporoides",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5934",133609,"Echinophyllia orpheensis",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5939",133559,"Mycedium elephantotus",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5947",133192,"Oxypora glabra",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5948",133442,"Oxypora lacera",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-4830",133320,"Acropora solitaryensis",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-5950",132956,"Pectinia alcicornis",NA,NA,"CORAL2","VU","Unknown"
"URM-Cn-5953",132928,"Pectinia lactuca",NA,NA,"CORAL2","VU","Unknown"
"URM-Cn-5954",133272,"Pectinia paeonia",NA,NA,"CORAL2","NT","Unknown"
"URM-Cn-5974",132958,"Pocillopora capitata",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5975",133222,"Pocillopora damicornis",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5977",133099,"Pocillopora elegans",NA,NA,"CORAL2","VU","Unknown"
"URM-Cn-5978",133407,"Pocillopora eydouxi",NA,NA,"CORAL2","NT","Unknown"
"URM-Cn-5981",133309,"Pocillopora inflata",NA,NA,"CORAL2","VU","Unknown"
"URM-Cn-5982",132875,"Pocillopora kelleheri",NA,NA,"CORAL2","LC","Stable"
"URM-Cn-5983",133095,"Pocillopora meandrina",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5984",133197,"Pocillopora verrucosa",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5985",132923,"Pocillopora woodjonesi",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5987",133028,"Seriatopora caliendrum",NA,NA,"CORAL2","NT","Unknown"
"URM-Cn-5989",133614,"Seriatopora guttatus",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-4836",133087,"Acropora subglabra",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-6069",133038,"Porites nigrescens",NA,NA,"CORAL2","VU","Unknown"
"URM-Cn-6073",133395,"Porites porites",NA,NA,"CORAL2","LC","Stable"
"URM-Cn-4835",133291,"Acropora striata",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-6020",133607,"Goniopora minor",NA,NA,"CORAL2","NT","Unknown"
"URM-Cn-6030",133668,"Goniopora stokesi",NA,NA,"CORAL2","NT","Unknown"
"URM-Cn-6038",133680,"Porites astreoides",NA,NA,"CORAL2","LC","Increasing"
"URM-Cn-6055",133504,"Porites furcata",NA,NA,"CORAL2","LC","Stable"
"URM-Cn-6062",133023,"Porites lichen",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-6063",133216,"Porites lobata",NA,NA,"CORAL2","NT","Unknown"
"URM-Cn-6064",133082,"Porites lutea",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5823",133458,"Hydnophora microconos",NA,NA,"CORAL2","NT","Unknown"
"URM-Cn-5824",132895,"Hydnophora pilosa",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5825",132881,"Hydnophora rigida",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5826",133337,"Merulina ampliata",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5827",133024,"Merulina scabricula",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5830",133473,"Scapophyllia cylindrica",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5845",133411,"Acanthastrea bowerbanki",NA,NA,"CORAL2","VU","Unknown"
"URM-Cn-5846",133246,"Acanthastrea echinata",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5847",133624,"Acanthastrea faviaformis",NA,NA,"CORAL2","VU","Unknown"
"URM-Cn-5848",133642,"Acanthastrea hemprichii",NA,NA,"CORAL2","VU","Unknown"
"URM-Cn-5849",133106,"Acanthastrea hillae",NA,NA,"CORAL2","NT","Unknown"
"URM-Cn-5850",133376,"Acanthastrea ishigakiensis",NA,NA,"CORAL2","VU","Unknown"
"URM-Cn-5851",133366,"Acanthastrea lordhowensis",NA,NA,"CORAL2","NT","Unknown"
"URM-Cn-5854",133326,"Acanthastrea regularis",NA,NA,"CORAL2","VU","Unknown"
"SLB-62731",133386,"Acanthastrea rotundoflora",NA,NA,"CORAL2","NT","Unknown"
"URM-Cn-5858",133573,"Australomussa rowleyensis",NA,NA,"CORAL2","NT","Unknown"
"URM-Cn-5859",133528,"Blastomussa merleti",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5860",133253,"Blastomussa wellsi",NA,NA,"CORAL2","NT","Unknown"
"URM-Cn-5861",133413,"Cynarina lacrymalis",NA,NA,"CORAL2","NT","Unknown"
"URM-Cn-5864",133591,"Isophyllia sinuosa",NA,NA,"CORAL2","LC","Stable"
"URM-Cn-5865",133551,"Lobophyllia corymbosa",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5867",133565,"Lobophyllia dentatus",NA,NA,"CORAL2","VU","Unknown"
"URM-Cn-5868",133619,"Lobophyllia diminuta",NA,NA,"CORAL2","VU","Unknown"
"URM-Cn-5869",133032,"Lobophyllia flabelliformis",NA,NA,"CORAL2","VU","Unknown"
"URM-Cn-5870",133304,"Lobophyllia hataii",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5871",133419,"Lobophyllia hemprichii",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5872",133152,"Lobophyllia pachysepta",NA,NA,"CORAL2","NT","Unknown"
"URM-Cn-5873",133076,"Lobophyllia robusta",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5877",133457,"Mussa angulosa",NA,NA,"CORAL2","LC","Stable"
"URM-Cn-4823",132998,"Acropora samoensis",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-5881",133047,"Mycetophyllia aliciae",NA,NA,"CORAL2","LC","Stable"
"URM-Cn-5883",133356,"Mycetophyllia ferox",NA,NA,"CORAL2","VU","Unknown"
"URM-Cn-5884",133062,"Mycetophyllia lamarckiana",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5886",133566,"Scolymia australis",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5887",133053,"Scolymia cubensis",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5888",132874,"Scolymia lacera",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5889",133157,"Scolymia vitiensis",NA,NA,"CORAL2","NT","Unknown"
"URM-Cn-4824",133271,"Acropora sarmentosa",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-5891",133474,"Symphyllia agaricia",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5893",133126,"Symphyllia hassi",NA,NA,"CORAL2","VU","Unknown"
"URM-Cn-5894",132900,"Symphyllia radians",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5895",133606,"Symphyllia recta",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5896",133127,"Symphyllia valenciennesii",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5897",133340,"Symphyllia wilsoni",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5901",133109,"Galaxea acrhelia",NA,NA,"CORAL2","VU","Unknown"
"URM-Cn-5903",133354,"Galaxea astreata",NA,NA,"CORAL2","VU","Unknown"
"URM-Cn-4809",133647,"Acropora polystoma",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-5746",133597,"Cantharellus doederleini",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5749",133083,"Ctenactis albitentaculata",NA,NA,"CORAL2","NT","Unknown"
"URM-Cn-5750",133110,"Ctenactis crassa",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5751",133148,"Ctenactis echinata",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5753",133418,"Fungia concinna",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5760",133503,"Fungia fungites",NA,NA,"CORAL2","NT","Unknown"
"URM-Cn-5761",133183,"Fungia granulosa",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5764",133423,"Fungia horrida",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5765",133437,"Fungia moluccensis",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5766",133673,"Fungia paumotensis",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5768",132986,"Fungia repanda",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5769",133179,"Fungia scabra",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5770",133308,"Fungia scruposa",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5771",133201,"Fungia scutaria",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5772",132996,"Fungia seychellensis",NA,NA,"CORAL2","VU","Unknown"
"URM-Cn-5781",133166,"Halomitra pileus",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5782",133269,"Heliofungia actiniformis",NA,NA,"CORAL2","VU","Unknown"
"SLB-62658",133538,"Herpolitha limax",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5787",133158,"Podabacia crustacea",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5791",133372,"Polyphyllia novaehiberniae",NA,NA,"CORAL2","NT","Unknown"
"URM-Cn-5792",133063,"Polyphyllia talpina",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5795",133693,"Sandalolitha robusta",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-4816",133248,"Acropora robusta",NA,NA,"CORAL1","LC","Decreasing"
"SLB-158750",133124,"Dendrogyra cylindrus",NA,NA,"CORAL2","VU","Stable"
"URM-Cn-5815",133400,"Eusmilia fastigiata",NA,NA,"CORAL2","LC","Stable"
"URM-Cn-5816",133412,"Gyrosmilia interrupta",NA,NA,"CORAL2","LC","Decreasing"
"URM-Cn-5817",133224,"Meandrina meandrites",NA,NA,"CORAL2","LC","Stable"
"URM-Cn-5821",133478,"Hydnophora exesa",NA,NA,"CORAL2","NT","Unknown"
"URM-Cn-5905",133662,"Galaxea fascicularis",NA,NA,"CORAL2","NT","Unknown"
"URM-Cn-4718",133283,"Acropora batunai",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4826",132888,"Acropora secale",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5915",133212,"Oculina diffusa",NA,NA,"CORAL2","LC","Stable"
"URM-Cn-5921",133165,"Oculina varicosa",NA,NA,"CORAL2","VU","Unknown"
"URM-Cn-4828",133080,"Acropora selago",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-5928",133172,"Echinophyllia aspera",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-5930",133058,"Echinophyllia echinata",NA,NA,"CORAL2","LC","Unknown"
"SLB-158735",133484,"Anomastraea irregularis",NA,NA,"CORAL2","VU","Decreasing"
"URM-Cn-6122",133428,"Coscinaraea columna",NA,NA,"CORAL2","LC","Unknown"
"URM-Cn-4854",132931,"Acropora willisae",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4855",133547,"Acropora yongei",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-4856",133341,"Anacropora forbesi",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-4859",133415,"Anacropora puertogalerae",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4861",133046,"Anacropora spinosa",NA,NA,"CORAL1","EN","Decreasing"
"URM-Cn-4863",133069,"Astreopora cucullata",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4865",133302,"Astreopora gracilis",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-4866",133092,"Astreopora incrustans",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4868",133267,"Astreopora listeri",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-4869",133306,"Astreopora macrostoma",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-4871",133292,"Astreopora myriophthalma",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-4872",133129,"Astreopora ocellata",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-4873",133048,"Astreopora suggesta",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-4723",132933,"Acropora carduus",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-4875",133314,"Montipora aequituberculata",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-4876",133696,"Montipora altasepta",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4877",132866,"Montipora angulata",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4879",133443,"Montipora australiensis",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4881",133185,"Montipora calcarea",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4882",133220,"Montipora caliculata",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4883",133622,"Montipora capitata",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-4724",133112,"Acropora caroliniana",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4885",133623,"Montipora cebuensis",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4887",133367,"Montipora confusa",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-4888",133375,"Montipora corbettensis",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4889",133433,"Montipora crassituberculata",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4891",133451,"Montipora danae",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-4893",133194,"Montipora digitata",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-4725",133576,"Acropora cerealis",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-4896",133175,"Montipora efflorescens",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-4897",133031,"Montipora effusa",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-4900",133186,"Montipora floweri",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-4901",133071,"Montipora foliosa",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-4902",133438,"Montipora foveolata",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-4903",133131,"Montipora friabilis",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4708",133133,"Acropora abrolhosensis",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4726",133381,"Acropora cervicornis",NA,NA,"CORAL1","CR","Stable"
"URM-Cn-4906",133420,"Montipora grisea",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-4909",133238,"Montipora hispida",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-4911",133700,"Montipora hoffmeisteri",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-4912",133196,"Montipora incrassata",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-4913",133066,"Montipora informis",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-4915",133117,"Montipora lobulata",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4727",133481,"Acropora chesterfieldensis",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-4918",133015,"Montipora millepora",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-4919",133674,"Montipora mollis",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-4920",133525,"Montipora monasteriata",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-4922",132944,"Montipora nodosa",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-4923",132932,"Montipora orientalis",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4728",133207,"Acropora clathrata",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-4927",133563,"Montipora peltiformis",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-4929",133404,"Montipora samarensis",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4934",133245,"Montipora spongodes",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-4935",133556,"Montipora spumosa",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-4936",133259,"Montipora stellata",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-4941",133345,"Montipora tuberculosa",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-4943",133450,"Montipora turtlensis",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4944",133599,"Montipora undata",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-4945",133635,"Montipora venosa",NA,NA,"CORAL1","NT","Decreasing"
"URM-Cn-4947",133646,"Montipora verrucosa",NA,NA,"CORAL1","LC","Decreasing"
"URM-Cn-4949",133190,"Montipora vietnamensis",NA,NA,"CORAL1","VU","Decreasing"
"URM-Cn-4950",133535,"Agaricia agaricites",NA,NA,"CORAL1","LC","Stable"
"URM-Cn-4952",133288,"Agaricia grahamae",NA,NA,"CORAL1","LC","Unknown"
"URM-Cn-4953",133255,"Agaricia humilis",NA,NA,"CORAL1","LC","Stable"
